key,job_role,job_title,company_name,skills,job_type,location,experience
128,Data Engineer,Data Engineer,Hiring Squad,,Full time,Gurgaon / Gurugram,3-8 Years
129,Data Engineer,Urgent Hiring Data Engineer- GCP,Serendipity Corporate Services,"Gcp,Data Engineer,Etl,cloud",Full time,Bengaluru / Bangalore,5-10 Years
130,Data Engineer,Data Engineer,Dfcs Technologies Private Limited,"""Data Engineer"",""Data Engineering"",""bigdata""",Full time,"Hyderabad / Secunderabad, Telangana",4-9 Years
131,Data Engineer,Data Engineer - Informatica,MP Dominic & Co,"Informatica,Hive,Hadoop",Full time,Cochin / Kochi / Ernakulam,4-9 Years
132,Data Engineer,Data Engineer,RPG Ventures,"Big Query,Gcp,BigQuery,Data Engineer",Full time,Bengaluru / Bangalore,8-14 Years
133,Data Engineer,Sr. Data Engineer,D Square Consulting Services Private Limited,"Snow Flake,Domo,Sql,Etl",Full time,Bengaluru / Bangalore,5-10 Years
134,Data Engineer,AWS Data Engineer,Teamware Solutions (A Division of Quantum Leap Consulting Pvt. Ltd.),"Datalake,AWS,Redshift",Full time,Pune,6-12 Years
135,Data Engineer,Data Engineer,It Open Doors Private Limited,"Spark,Sql,Azure,aws,Databricks",Full time,"Gurgaon / Gurugram, Hyderabad / Secunderabad, Telangana",3-8 Years
136,Data Engineer,Urgent Hiring Data Engineer ETL,Serendipity Corporate Services,"snowflake,Data Engineer,Etl,Python",Full time,Bengaluru / Bangalore,5-11 Years
137,Data Engineer,Data Engineer,Hireign Innoways (OPC) Private Limited,"Data Engineer,Sql,Python",Full time,"Hyderabad / Secunderabad, Telangana",5-10 Years
138,Data Engineer,Senior/Principal Data Engineer,Spectral Consultants,"Snow Flake,dbt,AWS,Amazon Web Service",Full time,Noida,5-12 Years
139,Data Engineer,Sr. Data Engineer,D Square Consulting Services Private Limited,"Snow Flake,Domo,Sql,Tableau,Etl",Full time,Bengaluru / Bangalore,5-10 Years
140,Data Engineer,Data Engineer- ETL,Macropace Technologies,"Synapse,Google data Studio,R,Data Engineer",Full time,"Chennai, Cochin / Kochi / Ernakulam",6-10 Years
141,Data Engineer,Data Engineer/ Modeller,Redberyl Tech Solutions Private Limited,,Full time,"Mumbai, Pune",5-15 Years
142,Data Engineer,Informatica data engineer,Cognizant Technology Solutions Asia Pacific Pte. Ltd.,"Teradata,Banking,Informatica,Oracle","International, Full time",Malaysia,3-8 Years
143,Data Engineer,Azure Data engineer,Wintech Services ( India) Private Limited,"Azure Data Lake,Sql,Data Warehousing",Full time,Bangaon,6-10 Years
144,Data Engineer,Data Engineer,It Open Doors Private Limited,"Pyspark,Sql,databricks","Jobs for Women, Work From Home, Full time","Gurgaon / Gurugram, Hyderabad / Secunderabad, Telangana",4-14 Years
145,Data Engineer,DATA Engineer - COSMOS DB AZURE SQL,Abeer Services India Network,"snowflake,Big Query,Cosmos,Azure,Sql",Full time,Chennai,7-12 Years
146,Data Engineer,Palantir data Engineer,Yellow Umbrella Group,"Palantir,Data Integration,Business requirement",Full time,Bhubaneswar,4-12 Years
147,Data Engineer,Senior Data Engineer,White Horse Manpower Consultancy Private Limited,"Semarchy MDM,Informatica Mdm,Linux Shell Scripting",Full time,"Bengaluru / Bangalore, Hyderabad / Secunderabad, Telangana",6-10 Years
148,Data Engineer,GCP Data Engineer position,Future A4,"Big Data Hadoop,Hive,Scala,Java",Full time,Bengaluru / Bangalore,5-15 Years
149,Data Engineer,Azure Data engineer,Anlage Infotech India Private Limited,"""databricks"",""datafactory"",""data bricks""",Full time,Bengaluru / Bangalore,4-9 Years
150,Data Engineer,AWS Data Engineer or Architect,Serendipity Corporate Services,"glue,aws,Lambda,Pyspark,python","Work From Home, Full time","Ahmedabad, Hyderabad / Secunderabad, Telangana",5-15 Years
151,Data Engineer,Data Engineer,IPS Vantage Tech Services Private Limited,"Hadoop,Hive,Sql,AWS,Spark,Scala",Full time,Bengaluru / Bangalore,6-9 Years
152,Data Engineer,Data Engineer- Snowflake Developer,Anlage Infotech India Private Limited,"Data Warehouse,Etl",Full time,Bengaluru / Bangalore,3-5 Years
153,Data Engineer,Data Engineer,Venpa Staffing Services India Private Limited,"RDBM,ORD,Etl,Informatica,Hive",Full time,Chennai,3-12 Years
154,Data Engineer,Staff Engineer - Data Analytics Engineering,Western Digital,"Airflow,columnar database environment",Full time,"Bengaluru / Bangalore, India",6-8 Years
155,Data Engineer,Sr Azure Data Engineer,Innover Global Inc,"ADL,Delta Tables,Analytics,data models",Full time,"Hyderabad / Secunderabad, Telangana, India",0-2 Years
156,Data Engineer,Data Engineer,Programming.Com,"airflow,athena,glue data catalog,python",Full time,"Hyderabad / Secunderabad, Telangana, India",5-7 Years
157,Data Engineer,Data Visualization Engineer,Comcast,"Software,diversity,Customer Experience",Full time,"Chennai, India",5-7 Years
158,Data Engineer,Data Engineer,Euphoric Thought Technologies Pvt. Ltd.,"healthcare data,Azure,Talend,Elasticsearch",Full time,"Bengaluru / Bangalore, India",5-7 Years
159,Data Engineer,AI Data Engineer / Senior AI Data Engineer,Emmes,"Glue,Ai,CI/CD,Tensorflow,Lambda,Kinesis",Full time,"Bengaluru / Bangalore, India",3-8 Years
160,Data Engineer,Data Engineer,TekJobs,"Kanban,dbt,snowflake,CI-CD,Data Modelling",Full time,"Bengaluru / Bangalore, India",10-12 Years
161,Data Engineer,Data Engineer,Horigine Consulting Pvt. Ltd.,"Micro-services frameworks,Atomic Scheduler",Full time,"Bengaluru / Bangalore, India",2-3 Years
162,Data Engineer,Azure Data Engineer,Axiom,"Big Query,Spark scripts,AI/ML Services,Azure Data Engineer Certification",Full time,"Hyderabad / Secunderabad, Telangana, India",3-8 Years
163,Data Engineer,Collibra - Data Governance and Cataloguing Engineer,CGI,"RESTful (Rest-APIs),Workflow Designer,Data Quality Management",Full time,"Bengaluru / Bangalore, India",6-8 Years
164,Data Engineer,Senior Backend Engineer/ Data Engineer,Fluenc,"Go,timescaledb,Rust,python,C++,postgresql",Full time,"Bengaluru / Bangalore, India",5-7 Years
165,Data Engineer,Data Engineer,Collabera Digital,"snowflake,data vault,AWS",Full time,"Bengaluru / Bangalore, India",7-9 Years
166,Data Engineer,Principal Engineer - Data Platform SRE,Red Hat,"snowflake,Fivetran,Golang,Terraform",Full time,"Bengaluru / Bangalore, India",1-8 Years
